                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9774,                 1.7001,                 1.2387,                0.46302,                0.43342,                0.39918,                0.22661,                 1.5186,                 2.4818,                 1.2382,             0.00066607,             0.00066607,             0.00066607
                      2,                  1.828,                 1.3901,                 1.1552,                0.46157,                0.39467,                0.36942,                0.20521,                 1.5269,                 2.2895,                 1.2171,              0.0012668,              0.0012668,              0.0012668
                      3,                 1.7822,                 1.3342,                 1.1377,                0.58466,                0.39733,                0.44693,                0.25516,                 1.4977,                 1.7858,                 1.1926,              0.0018015,              0.0018015,              0.0018015
                      4,                 1.7333,                 1.2731,                 1.1207,                0.58093,                0.41467,                 0.4495,                0.26886,                 1.4509,                  1.787,                 1.1927,               0.001703,               0.001703,               0.001703
                      5,                 1.7074,                  1.255,                  1.114,                0.46475,                0.40933,                0.37185,                0.22995,                 1.4147,                 1.8501,                 1.1595,               0.001703,               0.001703,               0.001703
                      6,                 1.6767,                 1.2168,                 1.0986,                0.51884,                  0.428,                0.41377,                0.24886,                 1.3921,                 1.6621,                 1.1434,               0.001604,               0.001604,               0.001604
                      7,                 1.6387,                 1.1953,                 1.0918,                0.37123,                0.46933,                0.35884,                0.21123,                 1.4142,                 1.6245,                 1.1561,               0.001505,               0.001505,               0.001505
                      8,                 1.6224,                 1.1716,                 1.0857,                0.52791,                0.41467,                0.45196,                0.28475,                 1.3133,                 1.6172,                 1.1156,               0.001406,               0.001406,               0.001406
                      9,                 1.5942,                 1.1416,                 1.0777,                0.60775,                  0.424,                0.49566,                0.31551,                 1.3302,                 1.4537,                 1.1191,               0.001307,               0.001307,               0.001307
                     10,                 1.5765,                  1.132,                 1.0695,                 0.5453,                  0.424,                0.46374,                0.29573,                 1.3347,                 1.5023,                 1.1312,               0.001208,               0.001208,               0.001208
                     11,                 1.5523,                 1.1516,                 1.0757,                0.49995,                0.45467,                0.44961,                 0.2861,                 1.3373,                 1.6155,                 1.1381,               0.001109,               0.001109,               0.001109
                     12,                 1.5402,                  1.143,                 1.0723,                0.52547,                0.45475,                0.47586,                 0.3016,                 1.3124,                 1.6865,                  1.112,                0.00101,                0.00101,                0.00101
                     13,                 1.5306,                  1.121,                 1.0672,                0.63779,                0.45867,                0.53142,                0.34207,                 1.2818,                  1.391,                 1.0974,               0.000911,               0.000911,               0.000911
                     14,                  1.512,                 1.1108,                 1.0638,                0.61995,                  0.464,                0.52137,                0.33319,                 1.3201,                 1.4776,                 1.1251,               0.000812,               0.000812,               0.000812
                     15,                 1.5048,                 1.0901,                  1.057,                0.51291,                0.48578,                0.45483,                0.28766,                  1.292,                 1.5562,                 1.1021,               0.000713,               0.000713,               0.000713
                     16,                 1.4737,                 1.0759,                  1.052,                0.62554,                  0.496,                 0.5467,                0.34787,                 1.2858,                 1.3417,                 1.0944,               0.000614,               0.000614,               0.000614
                     17,                 1.4679,                  1.055,                 1.0444,                0.66169,                0.50133,                0.56811,                0.37019,                 1.2536,                 1.3963,                 1.0951,               0.000515,               0.000515,               0.000515
                     18,                 1.4409,                 1.0342,                 1.0403,                0.61723,                0.51867,                0.56659,                0.37116,                 1.2511,                 1.3344,                 1.0866,               0.000416,               0.000416,               0.000416
                     19,                 1.4403,                 1.0235,                 1.0336,                0.61914,                0.47252,                0.53034,                0.35049,                 1.2384,                 1.3572,                 1.0732,               0.000317,               0.000317,               0.000317
                     20,                 1.4205,                 1.0064,                 1.0312,                0.65314,                0.52222,                0.57902,                0.37995,                 1.2208,                 1.3658,                 1.0744,               0.000218,               0.000218,               0.000218
